Identifier,StructureData,Polymer EntityData,
Entity ID,PDB ID,Auth Asym ID,
"1AAP_1","1AAP","A"
,,"B"
"1BUN_2","1BUN","B"
"1DTX_1","1DTX","A"
"1FAK_4","1FAK","I"
"1G6X_1","1G6X","A"
"1KTH_1","1KTH","A"
"1T7C_2","1T7C","B"
,,"D"
"1YC0_2","1YC0","I"
"1ZR0_2","1ZR0","B"
,,"D"
"2ZJX_1","2ZJX","A"
,,"B"
"3BYB_1","3BYB","A"
,,"B"
,,"C"
"3M7Q_2","3M7Q","B"
"3WNY_1","3WNY","A"
,,"C"
,,"E"
,,"G"
,,"B"
,,"F"
,,"H"
,,"I"
"4BQD_1","4BQD","A"
,,"B"
"4DTG_3","4DTG","K"
"4ISO_2","4ISO","B"
"4NTW_2","4NTW","B"
"4U30_2","4U30","X"
,,"Y"
,,"Z"
,,"W"
"4U32_1","4U32","X"
"5JB5_1","5JB5","A"
,,"B"
,,"C"
"5M4V_1","5M4V","A"
"5NX1_3","5NX1","D"
"5YV7_1","5YV7","A"
"6BX8_2","6BX8","B"
,,"D"
,,"F"
,,"H"
"6HAR_2","6HAR","E"
"6Q61_1","6Q61","A"
"6YHY_1","6YHY","A"
,,"B"
